open;high;low;close;volume;marketCap;timestamp
31.53627949;33.94399333;30.88016324;31.80380306;377650234.9;4083942001.66;"2021-04-10T00:00:00.000Z"
31.80379573;32.36647946;30.93572803;31.60232242;211605191.58;4062600654.07;"2021-04-11T00:00:00.000Z"
33.7982148;34.81218661;31.74695823;33.67353071;380251185.01;4329298666;"2021-04-13T00:00:00.000Z"
33.63677819;39.37591429;32.97645863;38.46286713;975987631.8;4945637007.75;"2021-04-14T00:00:00.000Z"
37.02238955;37.566324;33.17973224;35.63131705;441000849.97;4582330230.73;"2021-04-16T00:00:00.000Z"
35.53505225;36.87983981;33.90921157;34.34145466;299361049.48;4416547748.52;"2021-04-17T00:00:00.000Z"
29.28713293;30.46057063;25.61040406;26.28306571;305510537.17;3380352539.21;"2021-04-19T00:00:00.000Z"
26.13611393;28.26930918;24.01119103;27.34795342;351820081.45;3517821395.71;"2021-04-20T00:00:00.000Z"
27.40620277;28.40342737;25.85303432;25.90350346;255465065.21;3332165019.79;"2021-04-21T00:00:00.000Z"
23.98783257;24.6738294;20.01124644;23.49842471;381922879.61;3023143473.25;"2021-04-23T00:00:00.000Z"
23.58330349;23.8911444;21.52035492;21.77752851;177292845.08;2801787039.4;"2021-04-24T00:00:00.000Z"
21.6234663;26.47709821;21.40692188;26.45927753;264631789.76;3405967321.39;"2021-04-26T00:00:00.000Z"
26.46671712;27.86209851;25.76923691;27.82036908;214406078.59;3581523488.28;"2021-04-27T00:00:00.000Z"
27.92023603;29.03008601;25.88178122;28.32757307;240501700.72;3646901932.67;"2021-04-28T00:00:00.000Z"
27.93089705;32.98489012;27.52840454;32.91837377;386072187.75;4238397184.86;"2021-04-30T00:00:00.000Z"
32.89854516;35.64030625;31.76684395;31.89084342;415039866.24;4106502388;"2021-05-01T00:00:00.000Z"
31.32492208;37.08235648;31.16550563;35.93231995;613797103.94;4627853822.52;"2021-05-03T00:00:00.000Z"
35.8765824;36.13649537;29.98291495;30.36143228;429905095.34;3910843134.72;"2021-05-04T00:00:00.000Z"
35.25393264;39.2972427;34.75200259;37.98084272;615820255.81;4892695821.01;"2021-05-06T00:00:00.000Z"
37.97057743;43.74395226;36.00628302;38.04991956;812137105.43;4901815366.39;"2021-05-07T00:00:00.000Z"
37.90199622;39.78215236;37.27091007;38.32207285;350546181.84;4937112738.02;"2021-05-08T00:00:00.000Z"
38.9265006;41.77785556;30.21927135;34.70148697;528356770.42;4471965230.6;"2021-05-10T00:00:00.000Z"
34.69052756;37.25491207;32.58077099;36.82477865;342073952.07;4746149383.21;"2021-05-11T00:00:00.000Z"
32.80630563;37.15969478;31.04141852;34.98024095;539807644.68;4508793009.71;"2021-05-13T00:00:00.000Z"
35.0407707;37.9841022;33.39003746;36.9512021;343970662.79;4763137422.78;"2021-05-14T00:00:00.000Z"
34.42939431;39.50280403;32.6143874;36.51881212;566714442.41;4707785297.29;"2021-05-16T00:00:00.000Z"
36.55112603;37.64341191;31.96229904;33.66225344;457823166.14;4339695502.88;"2021-05-17T00:00:00.000Z"
33.62871311;37.67807648;33.31674825;36.82215669;369926391.01;4753460154.78;"2021-05-18T00:00:00.000Z"
23.13392097;28.16626063;20.92279883;25.19688497;356467352.31;3253116743.76;"2021-05-20T00:00:00.000Z"
25.10417292;26.71778162;18.45418151;21.80176932;262253582.95;2814908850.63;"2021-05-21T00:00:00.000Z"
18.84721211;19.66555286;12.14700274;15.75615244;241105086.06;2034699692.4;"2021-05-23T00:00:00.000Z"
15.62591984;20.47765852;15.12373275;19.41094653;248935735.52;2509417041.52;"2021-05-24T00:00:00.000Z"
19.39146444;20.18870835;17.09157535;19.45080922;177064640.36;2517955957.38;"2021-05-25T00:00:00.000Z"
20.83368884;21.23142102;18.79019032;19.00033483;120995855.46;2464117323.78;"2021-05-27T00:00:00.000Z"
19.06722418;19.59534254;16.05771866;16.73341176;124661584.57;2172039592.46;"2021-05-28T00:00:00.000Z"
16.1785809;17.43727444;15.17151305;16.53438644;66551414.27;2149588027.7;"2021-05-30T00:00:00.000Z"
16.52044716;18.19442355;15.71695946;18.16131956;83671863.26;2362750404.88;"2021-05-31T00:00:00.000Z"
17.75000371;19.37306355;17.17500284;18.67708113;101921640.67;2435677956.58;"2021-06-02T00:00:00.000Z"
18.69639325;20.68963495;18.28283493;20.24371446;118155005.54;2642034952.66;"2021-06-03T00:00:00.000Z"
20.27873348;20.54256912;17.45809575;18.24740468;108497012.47;2383535762.88;"2021-06-04T00:00:00.000Z"
17.23608069;17.99011661;17.12763478;17.40011116;48841451.76;2274827055.83;"2021-06-06T00:00:00.000Z"
17.39775351;18.05963782;15.37960612;15.52263999;129221032.06;2664941548.15;"2021-06-07T00:00:00.000Z"
14.81075222;15.75642165;13.67916365;15.38689086;107246373.88;2646465880.84;"2021-06-09T00:00:00.000Z"
15.39199655;15.57857766;13.78287125;14.17640797;90307844.45;2440029903.43;"2021-06-10T00:00:00.000Z"
13.41562341;13.87998302;12.66057179;13.55193018;79705597.48;2336422378.05;"2021-06-12T00:00:00.000Z"
13.53106381;14.98381819;13.27548358;14.77556594;97026434.67;2547455245.8;"2021-06-13T00:00:00.000Z"
14.74950131;15.44448376;14.43777461;14.96583576;99438783.42;2580299353.76;"2021-06-14T00:00:00.000Z"
14.71994935;14.92015349;13.92962448;14.0676783;79021451.99;2425523263.9;"2021-06-16T00:00:00.000Z"
14.08384322;15.47448283;14.03082163;14.83206867;100424428.17;2557318048.65;"2021-06-17T00:00:00.000Z"
13.63835055;14.0482902;13.23780656;13.45772903;37953810.96;2320356930.32;"2021-06-19T00:00:00.000Z"
13.3972443;14.14351964;12.83708209;13.9709907;55939670.22;2408852566.1;"2021-06-20T00:00:00.000Z"
13.92966758;14.06441339;11.07856242;11.21061585;86300255.75;1932913801.75;"2021-06-21T00:00:00.000Z"
10.55296263;11.79040171;10.18392905;11.19394664;76905668.83;1930039727.95;"2021-06-23T00:00:00.000Z"
11.46536607;11.75449165;10.8437529;11.48295703;51808716.78;1979870369.04;"2021-06-24T00:00:00.000Z"
10.24457385;10.59716206;9.79180838;10.27557056;42029113.61;1771695009.94;"2021-06-26T00:00:00.000Z"
10.32953585;10.98654945;10.09862325;10.91908048;34727227.77;1882647808.84;"2021-06-27T00:00:00.000Z"
11.30042426;12.34982539;11.09419231;11.85142019;60893172.99;2043400110.21;"2021-06-29T00:00:00.000Z"
